timestamp,cpu_percent,ram_mb
1737395613,107.00,1076.57
1737395614,106.00,1076.57
1737395615,104.00,1076.57
1737395616,107.00,1076.57
1737395617,104.00,1076.57
1737395618,105.00,1076.57
1737395619,107.00,1076.57
1737395620,109.00,1076.57
1737395621,105.00,1076.57
1737395622,107.00,1076.57
1737395623,104.00,1076.57
1737395624,105.00,1076.57
1737395625,107.00,1076.57
1737395626,105.00,1076.57
1737395627,105.00,1076.57
1737395628,106.00,1076.57
1737395629,111.00,1076.57
1737395630,104.00,1076.57
1737395631,107.00,1076.57
1737395632,107.00,1076.57
1737395633,111.00,1076.57
1737395634,107.00,1076.57
1737395635,104.00,1076.57
1737395636,106.00,1076.57
1737395637,106.00,1076.57
1737395638,105.00,1076.57
1737395639,105.00,1076.57
1737395640,106.00,1076.57
1737395641,105.00,1076.57
1737395642,106.00,1076.57
1737395643,108.00,1076.57
1737395644,105.00,1076.57
1737395645,107.00,1076.57
1737395646,105.00,1076.57
1737395647,111.00,1076.57
1737395648,109.00,1076.57
1737395649,104.00,1076.57
1737395650,107.00,1076.57
1737395651,105.00,1076.57
1737395652,109.00,1076.57
1737395653,106.00,1076.57
1737395654,105.00,1076.57
1737395655,112.00,1076.57
1737395656,110.00,1076.57
1737395657,105.00,1076.57
1737395658,104.00,1076.57
1737395659,107.00,1076.57
1737395660,104.00,1076.57
1737395661,108.00,1076.57
1737395662,107.00,1076.57
1737395663,105.00,1076.57
1737395664,105.00,1076.57
1737395665,106.00,1076.57
1737395666,105.00,1076.57
1737395667,106.00,1076.57
1737395668,106.00,1076.57
1737395669,105.00,1076.57
1737395670,105.00,1076.57
1737395671,107.00,1076.57
1737395672,104.00,1076.57
1737395673,105.00,1076.57
1737395674,111.00,1076.57
1737395675,105.00,1076.57
1737395676,105.00,1076.57
1737395677,112.00,1076.57
1737395678,104.00,1076.57
1737395679,108.00,1076.57
1737395680,105.00,1076.57
1737395681,105.00,1076.57
1737395682,108.00,1076.57
1737395683,107.00,1076.57
1737395684,107.00,1076.57
1737395685,105.00,1076.57
1737395686,107.00,1076.57
1737395687,104.00,1076.57
1737395688,109.00,1076.57
1737395689,106.00,1076.57
1737395690,105.00,1076.57
1737395691,105.00,1076.57
1737395692,106.00,1076.57
1737395693,106.00,1076.57
1737395694,104.00,1076.57
1737395695,107.00,1076.57
1737395696,105.00,1076.57
1737395697,105.00,1076.57
1737395698,106.00,1076.57
1737395699,105.00,1076.57
1737395700,111.00,1076.57
1737395701,106.00,1076.57
1737395702,115.00,1076.57
1737395703,113.00,1076.57
1737395704,106.00,1076.57
1737395705,105.00,1076.57
1737395706,105.00,1076.57
1737395707,107.00,1076.57
1737395708,105.00,1076.57
1737395709,104.00,1076.57
1737395710,107.00,1076.57
1737395711,104.00,1076.57
1737395712,106.00,1076.57
1737395713,106.00,1076.57
1737395714,109.00,1076.57
1737395715,104.00,1076.57
1737395716,107.00,1076.57
1737395717,107.00,1076.57
1737395718,104.00,1076.57
1737395719,113.00,1076.57
1737395720,108.00,1076.57
1737395721,104.00,1076.57
1737395722,107.00,1076.57
1737395723,107.00,1076.57
1737395724,104.00,1076.57
1737395725,116.00,1076.57
1737395726,111.00,1076.57
1737395727,105.00,1076.57
1737395728,112.00,1076.57
1737395729,104.00,1076.57
1737395730,106.00,1076.57
1737395731,106.00,1076.57
1737395732,105.00,1076.57
1737395733,105.00,1076.57
1737395734,113.00,1076.57
1737395735,105.00,1076.57
1737395736,107.00,1076.57
1737395737,109.00,1076.57
1737395738,104.00,1076.57
1737395739,108.00,1076.57
1737395740,107.00,1076.57
1737395741,105.00,1076.57
1737395742,104.00,1076.57
1737395743,107.00,1076.57
1737395744,109.00,1076.57
1737395745,109.00,1076.57
1737395746,106.00,1076.57
